Left-to-right mark	369817	por	Qual o lugar mais bonito do mundo?‎	MUIRIEL	2010-03-07 22:21:42	2010-07-30 15:38:33
Final punctuation	5269964	por	Admiramo-la pela sua valentia	z000	2016-07-12 21:34:18	2016-07-12 21:34:18
Ellipsis: too short	5277147	por	Seu romance será um sucesso de vendas..	carlosalberto	2016-07-15 21:08:36	2016-07-15 21:08:36
Final punctuation	5287029	por	Nós somos jardineiros	Noktuo	2016-07-19 14:58:03	2016-07-19 14:58:03
Period: preceeded by space	5296894	por	A ferida parou de doer quando ele pôs um band-aid nela .	Ueltatoeba2014	2016-07-23 22:29:20	2016-07-23 22:29:20
Period: preceeded by space	5296896	por	O ferimento cessou de doer quando ele lhe colocou um band-aid .	Ueltatoeba2014	2016-07-23 22:31:00	2016-07-23 22:31:00
Quotation marks: mixed curly and straight	5304331	por	O primeiro pirralho, pouquíssimo instruído, que encontram olha-os sobranceiro e lhes diz que eles estão se dedicando a tolices. O primeiro folhetinista com que se deparam escreve sobre eles “espirituosos” artigos e notas, sem sequer se dar o trabalho de se informar um pouco sobre aquilo que eles realmente estão fazendo. E o público, que sempre acompanha, qual rebanho de ovelhas, os que gostam de gritar, acha aquilo muito engraçado e nem por um minuto se pergunta se existe a mínima gota de bom-senso e de lógica em todos aqueles gracejos "espirituosos".	carlosalberto	2016-07-28 01:18:22	2016-07-28 01:19:24
Period: preceeded by space	5311036	por	Gosto muito de fazer compras neste shopping .	Ueltatoeba2014	2016-08-01 00:09:39	2016-08-01 00:09:39
Period: preceeded by space	5311039	por	Gosto muito de comprar neste shopping center .	Ueltatoeba2014	2016-08-01 00:10:37	2016-08-01 00:10:37
Final punctuation	5317992	por	Era uma vez	carlosalberto	2016-08-04 17:25:56	2016-08-04 17:25:56
Final punctuation	5324687	por	"Você limpou o seu quarto?" "Vou fazer isso depois"	horrayf	2016-08-07 15:06:02	2016-08-07 15:06:02
Dieresis: not used	5329585	por	Um falante de Mandarim solucionou o quebra-cabeça. Encontrou-se um tradutor num restaurante chinês próximo ao hotel onde o turista se hospedara, em Dülmen, perto da cidade de Dortmund, no oeste da Alemanha.	carlosalberto	2016-08-09 12:34:55	2016-08-09 12:34:55
Dieresis: not used	5329590	por	Christoph Schlütermann, funcionário da Cruz Vermelha, o descreveu como “bem diferente dos outros – absolutamente incapazes de agir sem ajuda”.	carlosalberto	2016-08-09 12:40:31	2023-12-30 11:21:06
Dieresis: not used	5329604	por	Schlütermann esclareceu que empregados do hotel haviam telefonado, sem sucesso, a diversos consulados, na esperança de identificar o turista. Um engano no visto do homem causou mais um atraso.	carlosalberto	2016-08-09 12:46:41	2016-08-09 12:46:41
Final punctuation	5345793	por	Tom me emprestou aquele DVD	Wagner1994	2016-08-16 17:22:54	2016-08-16 17:22:54
Final punctuation	5345860	por	Bajulação não vai te levar a lugar nenhum	Wagner1994	2016-08-16 17:43:10	2016-08-16 17:43:10
Final punctuation	5345870	por	Você não vai me enganar com a sua bajulação	Wagner1994	2016-08-16 17:50:44	2016-08-16 17:50:44
Final punctuation	5345891	por	Aguenta firme	Wagner1994	2016-08-16 17:58:37	2016-08-16 17:58:37
English quotation marks: unclosed opening mark	5373327	por	E Iahweh disse: “Eis que eles formam um só povo e falam a mesma língua. E se conseguem fazer isto, agora nada os impedirá de fazer o que se propuserem.	carlosalberto	2016-08-26 16:46:13	2016-08-26 16:46:13
Left-to-right mark	5406294	por	Nenhum dos estudantes achou a resposta correta.‎	avellar	2016-09-06 11:27:33	2016-09-17 11:20:48
Left-to-right mark	5406300	por	Preciso achar as chaves da minha casa.‎	avellar	2016-09-06 11:30:02	2016-09-17 11:13:33
Left-to-right mark	5406329	por	O livro se acha aberto.‎	avellar	2016-09-06 11:39:19	2016-09-17 11:13:56
Left-to-right mark	5406340	por	Errei no cálculo.‎	avellar	2016-09-06 11:46:32	2016-09-17 11:16:35
Exclamation mark: preceeded by space	5408082	por	Que laranja gostosa !, ela é tão docinha.	Pandinha53	2016-09-06 16:40:08	2016-09-06 16:41:55
Misspelling: bravemente -> bravamente	5408616	por	Eles lutavam bravemente até que um desistiu de lutar.	Pandinha53	2016-09-06 19:01:29	2016-09-06 19:01:29
Capitalization	5408649	por	traduzam as minhas frases pelo amor de Deus.	Pandinha53	2016-09-06 19:08:38	2016-09-06 19:08:52
Exclamation mark: preceeded by space	5408669	por	Cala a boca !	Pandinha53	2016-09-06 19:15:06	2016-09-06 19:15:45
Final punctuation	5409054	por	Você não deve mentir	Noktuo	2016-09-06 20:35:46	2016-09-06 20:35:46
Final punctuation	5436242	por	Senha？	Noktuo	2016-09-13 21:21:04	2016-09-13 21:21:04
Final punctuation	5436310	por	Quanto tempo você gastou para escrever este relatório？	Noktuo	2016-09-13 21:26:17	2016-09-13 21:26:17
Final punctuation	5440865	por	Não esperdice sua munição	UltraG	2016-09-15 00:43:19	2016-09-15 00:43:19
Final punctuation	5440866	por	Não esperdice munição	UltraG	2016-09-15 00:43:37	2016-09-15 00:43:37
Final punctuation	5440871	por	Tom é um jogador de baseball	UltraG	2016-09-15 00:46:41	2016-09-15 00:46:41
Final punctuation	5450289	por	Deveria ter orgulho de mim	MarlonX19	2016-09-18 13:42:00	2016-09-18 13:42:00
Cyrillic characters: possible homoglyphs	5472857	por	Аcho que está funcionando.	carlosalberto	2016-09-26 14:56:16	2016-09-26 14:56:16
English quotation marks: unbalanced opening marks	5492998	por	“Não podemos viver com €400," era um dos refrãos dos aposentados em sua manifestação. Outro era: “Que os ricos paguem pela crise.”	carlosalberto	2016-10-04 17:52:22	2016-10-04 17:52:22
Straight quotation marks: odd number	5492998	por	“Não podemos viver com €400," era um dos refrãos dos aposentados em sua manifestação. Outro era: “Que os ricos paguem pela crise.”	carlosalberto	2016-10-04 17:52:22	2016-10-04 17:52:22
Quotation marks: mixed curly and straight	5492998	por	“Não podemos viver com €400," era um dos refrãos dos aposentados em sua manifestação. Outro era: “Que os ricos paguem pela crise.”	carlosalberto	2016-10-04 17:52:22	2016-10-04 17:52:22
Final punctuation	5576535	por	Procurei, mas não o encontrei	Ricardo14	2016-11-04 02:44:11	2018-03-25 15:14:23
Final punctuation	5576537	por	Procurei, mas não a encontrei	Ricardo14	2016-11-04 02:44:42	2018-03-25 15:13:57
Final punctuation	5630295	por	Tom foi assassinado ontem à noite	bill	2016-11-22 15:25:30	2016-11-22 15:25:30
Parentheses: opening mark preceeded by letter or digit	5632692	por	Calcule o valor da função f(x) = x² para x = 3.	ianna	2016-11-23 15:54:31	2016-11-23 15:54:31
Exclamation mark: preceeded by space	5663902	por	Tom deixa quieto !.	cuelho08	2016-12-06 18:11:31	2016-12-06 18:11:31
Capitalization	5663947	por	meu camarada está com dor na coluna.	cuelho08	2016-12-06 18:23:07	2016-12-06 18:23:07
Exclamation mark: preceeded by space	5663949	por	Se liga meu chapa !.	cuelho08	2016-12-06 18:23:37	2016-12-06 18:23:37
Final punctuation	5718143	por	"Qual a a estrela mais próxima da Terra?" "Alpha Centauri" "Errado! O correto seria o Sol"	murilozanini	2016-12-30 04:47:42	2017-02-11 05:11:26
Exclamation mark: preceeded by space	5751429	por	Fui bem na entrevista !	nekofox	2017-01-08 19:17:35	2017-01-08 19:17:35
Final punctuation	5764495	por	Estou acostumado a ficar acordado até tarde à noite	uptonpark1973	2017-01-12 17:28:10	2017-01-12 17:28:10
Final punctuation	5785193	por	Tu querias aprender dois idiomas	Nincale96	2017-01-20 20:52:01	2017-01-20 20:52:01
Exclamation mark: preceeded by space	5785217	por	Um anjo poderia não ter asas? claro que não !.	Nincale96	2017-01-20 20:56:38	2017-01-20 20:56:38
Exclamation mark: preceeded by space	5785220	por	Por favor, traduza minhas frases !.	Nincale96	2017-01-20 20:58:02	2017-01-20 20:58:02
Exclamation mark: preceeded by space	5804488	por	Traz o carro para a garagem !.	Kaiopo	2017-01-27 13:39:20	2017-01-27 13:39:20
Final punctuation	5813646	por	Eu me sinto seguro em seus braços	leticiasato	2017-01-30 22:21:04	2017-01-30 22:21:04
Final punctuation	5813655	por	Não sou como as outros garotos	leticiasato	2017-01-30 22:28:04	2017-01-30 22:28:37
Final punctuation	5813656	por	Não sou como as outras garotas,	leticiasato	2017-01-30 22:29:07	2017-01-30 22:29:07
Straight quotation marks: odd number	5859185	por	"É possível fazer download de vídeos no YouTube?" "Sim. Para tanto, basta que você digite "ss" entre o "." e o "youtube" e pressione a tecla "Enter".	Ricardo14	2017-02-12 16:14:01	2017-02-12 16:14:01
Final punctuation	5877482	por	Eu não me preocupo com isso	bill	2017-02-17 19:26:24	2017-02-17 19:26:24
Left-to-right mark	5902097	por	Ele veio me cumprimentar.‎	bill	2017-02-26 16:22:59	\N
Left-to-right mark	5902101	por	Venha antes das seis se quiser jantar.‎	astru	2017-02-26 16:24:45	\N
Left-to-right mark	5902104	por	Os meses vêm e vão.‎	sergiomelo	2017-02-26 16:25:18	\N
Left-to-right mark	5902106	por	Eles vêm de vários países.‎	astru	2017-02-26 16:26:11	\N
Left-to-right mark	5902109	por	Essa bota é uma porcaria porque vem da China.‎	Ricardo14	2017-02-26 16:27:21	\N
Left-to-right mark	5902115	por	Meu sofrimento se deve às misérias da vida.‎	sergiomelo	2017-02-26 16:30:16	\N
Left-to-right mark	5902121	por	Eu venho comendo pizza todos os dias.‎	astru	2017-02-26 16:31:54	\N
Left-to-right mark	5902123	por	Meu irmão acabou por se tornar padre.‎	sergiomelo	2017-02-26 16:32:29	\N
Left-to-right mark	5902137	por	Senhora, estas rosas lhe foram entregues.‎	astru	2017-02-26 16:46:39	\N
Final punctuation	5905878	por	Este lago tem muitos peixes	Thai	2017-02-28 19:01:27	\N
Final punctuation	5912062	por	Muito	Thai	2017-03-02 19:31:59	\N
Parentheses: opening mark preceeded by letter or digit	5922861	por	Faz(e) o que tens vontade.	sjaelsamlaren	2017-03-06 11:03:30	\N
Final punctuation	5933689	por	Eu sabia que eu podia confiar em você,	Ricardo14	2017-03-10 04:47:35	\N
Final punctuation	5946647	por	Eu não queria desperdiçar o seu tempo	Ricardo14	2017-03-13 13:22:19	\N
Zero-width space	5949284	por	A luz apagou-se repentinamente​.	sjaelsamlaren	2017-03-14 15:50:45	\N
Final punctuation	5949914	por	Esse casaco me cai bem,	Ricardo14	2017-03-14 18:29:32	\N
Final punctuation	5949915	por	Este casaco me cai bem,	Ricardo14	2017-03-14 18:29:43	\N
Exclamation mark: preceeded by space	5957291	por	Quem gosta das músicas brasileiras ? eu !.	gamloy440	2017-03-17 21:02:15	\N
Question mark: preceeded by space	5957291	por	Quem gosta das músicas brasileiras ? eu !.	gamloy440	2017-03-17 21:02:15	\N
Exclamation mark: preceeded by space	5957292	por	Vem com a gente !.	gamloy440	2017-03-17 21:02:30	\N
Question mark: preceeded by space	5957299	por	Alguém poderia traduzir as minhas frases ?	gamloy440	2017-03-17 21:05:13	\N
Question mark: preceeded by space	5957302	por	E você ? Que história vai viver hoje ?	gamloy440	2017-03-17 21:06:14	\N
Exclamation mark: preceeded by space	5957308	por	Veja a reportagem de Tom !	gamloy440	2017-03-17 21:08:06	\N
Exclamation mark: preceeded by space	5957316	por	Não riem de mim ! eu sou um veterano.	gamloy440	2017-03-17 21:12:36	\N
Exclamation mark: preceeded by space	5957332	por	Vamos que vamos minha gente !	gamloy440	2017-03-17 21:19:17	\N
Exclamation mark: preceeded by space	5957338	por	Até que enfim completei cem frases no Tatoeba !	gamloy440	2017-03-17 21:21:34	\N
Final punctuation	5973244	por	É muito importante falar em vários idiomas	Ricardo14	2017-03-23 22:14:28	\N
Final punctuation	5982683	por	Tom nunca mais apareceu de novo	Ricardo14	2017-03-28 09:55:32	\N
Question mark: preceeded by space	5986448	por	Onde foram os meus amigos ? Eles foram para a praia.	nicky20	2017-03-29 20:08:41	\N
Final punctuation	5987581	por	Há algo de podre no reino da Dinamarca	islandisto	2017-03-30 13:33:46	\N
Final punctuation	5993571	por	Tô brincando	gustavoalves	2017-04-03 04:37:08	\N
Final punctuation	5993572	por	Eu estou jogando	gustavoalves	2017-04-03 04:37:13	\N
Final punctuation	5993712	por	Tás estudando inglês	gustavoalves	2017-04-03 05:14:30	\N
Final punctuation	5995386	por	Tô aqui todas as noites	gustavoalves	2017-04-04 01:40:11	\N
Final punctuation	6002107	por	Eu estou dentro de uma loja	Thai	2017-04-08 03:20:37	\N
Final punctuation	6002108	por	Estou dentro da loja	Thai	2017-04-08 03:24:53	\N
Exclamation mark: preceeded by space	6016345	por	Eu adoro os morangos !	saraly2	2017-04-15 20:04:28	\N
Question mark: preceeded by space	6016365	por	Estás sozinho ?	saraly2	2017-04-15 20:06:49	\N
Multiplication sign: possible homoglyph	6016491	por	A vitória foi de 1X0, gol de Tom cobrando pênalti.	Ricardo14	2017-04-15 20:57:40	\N
Straight quotation marks: preceeded and succeeded by space	6053236	por	"Seus pepinos não estão amargos?" "Que nada! Doces como açúcar! "	sergiomelo	2017-05-03 03:25:58	\N
Parentheses: unbalanced opening marks	6083086	por	Em 19 de agosto, 1960, a espaçonave soviética Korabl-Sputnik 2 levou duas cadelas (chamadas Belka (Esquilo) e Strelka (Pequena Flecha)) ao espaço e trouxe-as de volta à Terra em segurança.	BrunoHenriquesHasper	2017-05-17 02:40:34	\N
Parentheses: unbalanced closing marks	6083086	por	Em 19 de agosto, 1960, a espaçonave soviética Korabl-Sputnik 2 levou duas cadelas (chamadas Belka (Esquilo) e Strelka (Pequena Flecha)) ao espaço e trouxe-as de volta à Terra em segurança.	BrunoHenriquesHasper	2017-05-17 02:40:34	\N
Capitalization	6104267	por	vamos nos apressa	rodrigoatsu	2017-05-26 00:17:12	\N
Final punctuation	6104267	por	vamos nos apressa	rodrigoatsu	2017-05-26 00:17:12	\N
Final punctuation	6109968	por	Tom achou que Mary fez aquilo	Wagner1994	2017-05-28 21:35:26	\N
Parentheses: opening mark succeeded by space	6145267	por	Esses pensamentos me ocorreram porque eu acabara de ler o original italiano da obra inestimável de Umberto Eco, La ricerca della lingua perfetta ( "A busca da língua perfeita").	carlosalberto	2017-07-01 20:55:26	2017-07-01 20:55:26
Final punctuation	6148804	por	Tom é espetacular	paunoseucuarrombado	2017-07-05 00:10:34	2017-07-05 00:11:03
Question mark: preceeded by space	6215008	por	Você quer aprender a tocar guitarra ?	JGGG	2017-08-29 10:40:23	2017-08-29 10:40:23
Question mark: preceeded by space	6297664	por	Você tomou o café da manhã ?	JGGG	2017-09-09 16:13:10	2017-09-09 16:13:10
Straight quotation marks: odd number	6391929	por	"Está se sentindo melhor?" "Não, me sinto pior.''	anthrax26	2017-10-22 03:43:45	2017-10-22 03:43:45
Quotation marks: homoglyphs	6391929	por	"Está se sentindo melhor?" "Não, me sinto pior.''	anthrax26	2017-10-22 03:43:45	2017-10-22 03:43:45
Exclamation mark: preceeded by space	6397687	por	Não me digas semelhantes coisas !	Tanaka	2017-10-25 16:50:02	2017-10-25 16:50:02
Question mark: preceeded by space	6399877	por	Tem algo que você quer comer ?	Tanaka	2017-10-27 02:45:30	2017-10-27 02:46:32
Question mark: preceeded by space	6402165	por	Não se importaria por lavar a louça ?	Tanaka	2017-10-28 21:51:37	2017-10-28 21:51:37
Final punctuation	6455460	por	Fiz algumas ligações	uptonpark1973	2017-11-09 18:00:53	2017-11-09 18:00:53
Final punctuation	6460284	por	Abra o livro	Yuriko	2017-11-12 13:17:38	2017-11-12 13:18:49
Capitalization	6467146	por	a⨯b pode ser abreviado como ab.	heo598	2017-11-16 13:50:15	2017-11-16 13:50:15
Final punctuation	6467153	por	A palavra "puts" vem de "put" (output) + "s" (a primeira letra de "string")	heo598	2017-11-16 13:52:18	2017-11-16 13:52:18
English quotation marks: unclosed opening mark	6467299	por	Mal perdiam de vista as terras da Sicília / e em rumo do alto mar felizes velejavam – / brônzeas proas sulcando as ondas espumosas – / quando Juno, em seu peito conservando / incurável ferida, a si mesma dizia: / “Será preciso que da empresa começada / eu desista vencida, sem poder / da Itália o rei dos teucros afastar, / porque sou impedida pelos fados?"	carlosalberto	2017-11-16 15:08:38	2022-03-12 17:02:12
Straight quotation marks: odd number	6467299	por	Mal perdiam de vista as terras da Sicília / e em rumo do alto mar felizes velejavam – / brônzeas proas sulcando as ondas espumosas – / quando Juno, em seu peito conservando / incurável ferida, a si mesma dizia: / “Será preciso que da empresa começada / eu desista vencida, sem poder / da Itália o rei dos teucros afastar, / porque sou impedida pelos fados?"	carlosalberto	2017-11-16 15:08:38	2022-03-12 17:02:12
Quotation marks: mixed curly and straight	6467299	por	Mal perdiam de vista as terras da Sicília / e em rumo do alto mar felizes velejavam – / brônzeas proas sulcando as ondas espumosas – / quando Juno, em seu peito conservando / incurável ferida, a si mesma dizia: / “Será preciso que da empresa começada / eu desista vencida, sem poder / da Itália o rei dos teucros afastar, / porque sou impedida pelos fados?"	carlosalberto	2017-11-16 15:08:38	2022-03-12 17:02:12
English quotation marks: unopened closing mark	6469742	por	"Enquanto eu, que dos deuses sou rainha, / que, além de ser de Júpiter irmã, / esposa sou também, contra um só povo / me vejo a fazer guerra há tantos anos! / Depois disto quem pode haver disposto / a venerar de Juno a divindade, / ou com preces depor em seus altares / uma oferenda, um digno sacrifício?”	carlosalberto	2017-11-17 14:19:32	2022-03-12 11:34:59
Straight quotation marks: odd number	6469742	por	"Enquanto eu, que dos deuses sou rainha, / que, além de ser de Júpiter irmã, / esposa sou também, contra um só povo / me vejo a fazer guerra há tantos anos! / Depois disto quem pode haver disposto / a venerar de Juno a divindade, / ou com preces depor em seus altares / uma oferenda, um digno sacrifício?”	carlosalberto	2017-11-17 14:19:32	2022-03-12 11:34:59
Quotation marks: mixed curly and straight	6469742	por	"Enquanto eu, que dos deuses sou rainha, / que, além de ser de Júpiter irmã, / esposa sou também, contra um só povo / me vejo a fazer guerra há tantos anos! / Depois disto quem pode haver disposto / a venerar de Juno a divindade, / ou com preces depor em seus altares / uma oferenda, um digno sacrifício?”	carlosalberto	2017-11-17 14:19:32	2022-03-12 11:34:59
English quotation marks: unclosed opening mark	6472056	por	Eis que vem, / toda humilde, rogar-lhe a deusa Juno: / “Ó Éolo (pois a ti o pai dos deuses / e rei dos homens deu a faculdade / de as ondas amansar e de encrespá-las / com o auxílio do vento), uma gente que odeio / no momento navega o mar Tirreno, / levando para a Itália Ílio vencida / e seus penates".	carlosalberto	2017-11-18 16:50:28	2022-03-12 11:53:33
Straight quotation marks: odd number	6472056	por	Eis que vem, / toda humilde, rogar-lhe a deusa Juno: / “Ó Éolo (pois a ti o pai dos deuses / e rei dos homens deu a faculdade / de as ondas amansar e de encrespá-las / com o auxílio do vento), uma gente que odeio / no momento navega o mar Tirreno, / levando para a Itália Ílio vencida / e seus penates".	carlosalberto	2017-11-18 16:50:28	2022-03-12 11:53:33
Quotation marks: mixed curly and straight	6472056	por	Eis que vem, / toda humilde, rogar-lhe a deusa Juno: / “Ó Éolo (pois a ti o pai dos deuses / e rei dos homens deu a faculdade / de as ondas amansar e de encrespá-las / com o auxílio do vento), uma gente que odeio / no momento navega o mar Tirreno, / levando para a Itália Ílio vencida / e seus penates".	carlosalberto	2017-11-18 16:50:28	2022-03-12 11:53:33
English quotation marks: unopened closing mark	6473463	por	"Tenho em meu séquito catorze ninfas / dotadas de beleza deslumbrante, / das quais a mais bonita, Deiopeia, / a ti unirei em matrimônio, será tua, / para que, em paga de teus bons serviços, / passe contigo os dias todos de sua vida / e te gere a mais linda descendência.”	carlosalberto	2017-11-19 15:09:44	2017-12-12 21:48:59
Straight quotation marks: odd number	6473463	por	"Tenho em meu séquito catorze ninfas / dotadas de beleza deslumbrante, / das quais a mais bonita, Deiopeia, / a ti unirei em matrimônio, será tua, / para que, em paga de teus bons serviços, / passe contigo os dias todos de sua vida / e te gere a mais linda descendência.”	carlosalberto	2017-11-19 15:09:44	2017-12-12 21:48:59
Quotation marks: mixed curly and straight	6473463	por	"Tenho em meu séquito catorze ninfas / dotadas de beleza deslumbrante, / das quais a mais bonita, Deiopeia, / a ti unirei em matrimônio, será tua, / para que, em paga de teus bons serviços, / passe contigo os dias todos de sua vida / e te gere a mais linda descendência.”	carlosalberto	2017-11-19 15:09:44	2017-12-12 21:48:59
English quotation marks: unclosed opening mark	6476090	por	Logo Eneias / sente de horror um calafrio estremecê-lo. / A própria sorte deplorando, ele ergue aos astros / ambas as mãos e pronuncia estas palavras: / “Ó mil vezes felizes, todos vós, / que a fortuna tivestes de encontrar, / de vossos pais à vista ante as muralhas / da altiva Troia, a morte!"	carlosalberto	2017-11-20 23:22:58	2017-12-12 21:50:06
Straight quotation marks: odd number	6476090	por	Logo Eneias / sente de horror um calafrio estremecê-lo. / A própria sorte deplorando, ele ergue aos astros / ambas as mãos e pronuncia estas palavras: / “Ó mil vezes felizes, todos vós, / que a fortuna tivestes de encontrar, / de vossos pais à vista ante as muralhas / da altiva Troia, a morte!"	carlosalberto	2017-11-20 23:22:58	2017-12-12 21:50:06
Quotation marks: mixed curly and straight	6476090	por	Logo Eneias / sente de horror um calafrio estremecê-lo. / A própria sorte deplorando, ele ergue aos astros / ambas as mãos e pronuncia estas palavras: / “Ó mil vezes felizes, todos vós, / que a fortuna tivestes de encontrar, / de vossos pais à vista ante as muralhas / da altiva Troia, a morte!"	carlosalberto	2017-11-20 23:22:58	2017-12-12 21:50:06
English quotation marks: unopened closing mark	6476201	por	"Ó filho de Tideu, / ó tu, que és o mais bravo dentre os Gregos! / Pensar agora que morrer não pude / nos pátrios campos de batalha, sob os golpes / de teu potente ataque; onde o valente Heitor / jaz abatido por certeiro dardo / do neto de Eaco; ali, onde tombou / o gigante Sarpédon, e onde o Símois, / pela corrente arrebatados, rola ainda / tantos escudos, capacetes, corpos / de robustos guerreiros imolados!”	carlosalberto	2017-11-21 01:36:35	2022-03-12 12:12:10
Straight quotation marks: odd number	6476201	por	"Ó filho de Tideu, / ó tu, que és o mais bravo dentre os Gregos! / Pensar agora que morrer não pude / nos pátrios campos de batalha, sob os golpes / de teu potente ataque; onde o valente Heitor / jaz abatido por certeiro dardo / do neto de Eaco; ali, onde tombou / o gigante Sarpédon, e onde o Símois, / pela corrente arrebatados, rola ainda / tantos escudos, capacetes, corpos / de robustos guerreiros imolados!”	carlosalberto	2017-11-21 01:36:35	2022-03-12 12:12:10
Quotation marks: mixed curly and straight	6476201	por	"Ó filho de Tideu, / ó tu, que és o mais bravo dentre os Gregos! / Pensar agora que morrer não pude / nos pátrios campos de batalha, sob os golpes / de teu potente ataque; onde o valente Heitor / jaz abatido por certeiro dardo / do neto de Eaco; ali, onde tombou / o gigante Sarpédon, e onde o Símois, / pela corrente arrebatados, rola ainda / tantos escudos, capacetes, corpos / de robustos guerreiros imolados!”	carlosalberto	2017-11-21 01:36:35	2022-03-12 12:12:10
English quotation marks: unclosed opening mark	6480219	por	O Euro e o Zéfiro chama e assim lhes fala: / “É vossa origem que vos faz tão atrevidos? / Já ousais céus e terras confundir / e essas massas enormes soerguer / sem minha permissão, ó ventos loucos?"	carlosalberto	2017-11-23 18:05:51	2017-12-12 21:54:59
Straight quotation marks: odd number	6480219	por	O Euro e o Zéfiro chama e assim lhes fala: / “É vossa origem que vos faz tão atrevidos? / Já ousais céus e terras confundir / e essas massas enormes soerguer / sem minha permissão, ó ventos loucos?"	carlosalberto	2017-11-23 18:05:51	2017-12-12 21:54:59
Quotation marks: mixed curly and straight	6480219	por	O Euro e o Zéfiro chama e assim lhes fala: / “É vossa origem que vos faz tão atrevidos? / Já ousais céus e terras confundir / e essas massas enormes soerguer / sem minha permissão, ó ventos loucos?"	carlosalberto	2017-11-23 18:05:51	2017-12-12 21:54:59
Final punctuation	6485154	por	Distribui / o vinho que em barris o bom Acestes / lhes ofertara – mimo régio – quando estavam / para zarpar da costa da Sicília; / e os merencórios corações mitiga / com as seguintes palavras:	carlosalberto	2017-11-27 11:09:35	2017-11-27 11:09:35
English quotation marks: unclosed opening mark	6485157	por	“Meus amigos, / companheiros de antigas desventuras, / vós, que mais graves provações já suportastes, / vereis que o céu acabará também com estas".	carlosalberto	2017-11-27 11:26:48	2017-12-12 22:12:56
Straight quotation marks: odd number	6485157	por	“Meus amigos, / companheiros de antigas desventuras, / vós, que mais graves provações já suportastes, / vereis que o céu acabará também com estas".	carlosalberto	2017-11-27 11:26:48	2017-12-12 22:12:56
Quotation marks: mixed curly and straight	6485157	por	“Meus amigos, / companheiros de antigas desventuras, / vós, que mais graves provações já suportastes, / vereis que o céu acabará também com estas".	carlosalberto	2017-11-27 11:26:48	2017-12-12 22:12:56
English quotation marks: unopened closing mark	6485202	por	"Depois de superar tantos perigos / e delicadas situações de toda espécie, / estamos indo para o Lácio, onde o destino / residência tranquila nos reserva. / É lá que os deuses nos permitem reerguer / de Troia o reino. Assim, tende paciência, / pois dias mais felizes vos esperam”.	carlosalberto	2017-11-27 11:47:13	2017-12-21 15:02:49
Straight quotation marks: odd number	6485202	por	"Depois de superar tantos perigos / e delicadas situações de toda espécie, / estamos indo para o Lácio, onde o destino / residência tranquila nos reserva. / É lá que os deuses nos permitem reerguer / de Troia o reino. Assim, tende paciência, / pois dias mais felizes vos esperam”.	carlosalberto	2017-11-27 11:47:13	2017-12-21 15:02:49
Quotation marks: mixed curly and straight	6485202	por	"Depois de superar tantos perigos / e delicadas situações de toda espécie, / estamos indo para o Lácio, onde o destino / residência tranquila nos reserva. / É lá que os deuses nos permitem reerguer / de Troia o reino. Assim, tende paciência, / pois dias mais felizes vos esperam”.	carlosalberto	2017-11-27 11:47:13	2017-12-21 15:02:49
Final punctuation	6486879	por	A ele, absorto dessa forma, Vênus / muito triste, com os olhos reluzentes / de lágrimas banhados, se dirige:	carlosalberto	2017-11-28 16:29:28	2017-11-28 16:29:28
English quotation marks: unclosed opening mark	6486907	por	“Ó tu, que aos atos de mortais e deuses / leis eternas impões; que com teu raio / espalhas o terror por toda a parte, / que grande crime cometeu meu filho Eneias / contra ti, que fizeram os troianos, / para, depois de tantas aflições, / verem fechar-se o mundo em derredor, / para impedi-los de chegar à Itália?"	carlosalberto	2017-11-28 16:39:34	2022-03-16 09:37:14
Straight quotation marks: odd number	6486907	por	“Ó tu, que aos atos de mortais e deuses / leis eternas impões; que com teu raio / espalhas o terror por toda a parte, / que grande crime cometeu meu filho Eneias / contra ti, que fizeram os troianos, / para, depois de tantas aflições, / verem fechar-se o mundo em derredor, / para impedi-los de chegar à Itália?"	carlosalberto	2017-11-28 16:39:34	2022-03-16 09:37:14
Quotation marks: mixed curly and straight	6486907	por	“Ó tu, que aos atos de mortais e deuses / leis eternas impões; que com teu raio / espalhas o terror por toda a parte, / que grande crime cometeu meu filho Eneias / contra ti, que fizeram os troianos, / para, depois de tantas aflições, / verem fechar-se o mundo em derredor, / para impedi-los de chegar à Itália?"	carlosalberto	2017-11-28 16:39:34	2022-03-16 09:37:14
English quotation marks: unopened closing mark	6487282	por	"E nós, herdeiros do teu sangue e candidatos / à celeste mansão, perdidos, como vês, / nossos navios (oh que absurdo!), simplesmente / para aplacar a sanha a um coração cruel, / vítimas somos e nos vemos afastados / para longe das costas italianas. / É este o prêmio a que fazemos jus / por nossa devoção? Desta maneira / é que pretendes restaurar o nosso império?”	carlosalberto	2017-11-28 22:56:53	2018-03-20 21:16:58
Straight quotation marks: odd number	6487282	por	"E nós, herdeiros do teu sangue e candidatos / à celeste mansão, perdidos, como vês, / nossos navios (oh que absurdo!), simplesmente / para aplacar a sanha a um coração cruel, / vítimas somos e nos vemos afastados / para longe das costas italianas. / É este o prêmio a que fazemos jus / por nossa devoção? Desta maneira / é que pretendes restaurar o nosso império?”	carlosalberto	2017-11-28 22:56:53	2018-03-20 21:16:58
