32	0x20	 	75898	5299971	tgl	Di ako magpapatalo!	katalex	2016-07-25 16:07:26	2016-07-25 16:07:26
161	0xa1	¡	1	11207527	tgl	—¡Mabuting gawa ito! Mabuting balabal ang dala ko! Ako'y nanaog upang bumili ng isang balabal, at sa pagbalik ay wala man lamang ako kahi't sako at may dala pa akong isang taong hubad. Di nga ako katutuwaan ni Matrena.	nonong	2022-10-26 07:18:11	2022-10-26 07:18:11
171	0xab	«	1	11192928	tgl	Isáng hampás-lupà, isáng hampas-bató, na gaya ng̃ tawag sa kanyá ng̃ madlâ. Ulila sa amá't ulila, sa iná. Walâng asawa, ni anák, ni kapatid, ni kamaganakan kungdî ... si «Ligaya»; ligayang pará sa kanyá'y hindî natatagpô sa alín mang dako, sa alín mang poók, máliban sa mg̃a bilyar, sabung̃án, pangginggihan, bahay-sáyawan at mg̃a bung̃ang̃à ng̃ impierno na sa bálana'y laging nakaumang.	nonong	2022-10-19 22:41:14	2022-11-02 23:13:23
173	0xad	­	3	11537018	tgl	"Bakit?" ­– "Dahil diyan!"	qwertzu	2023-02-14 15:35:33	2023-02-14 15:35:33
176	0xb0	°	7	3620521	tgl	Ang katamtamang surpasyong temperatura sa Neptuno ay mga 72 K o −201 °C.	nonong	2014-11-10 06:43:52	2014-11-10 06:46:49
187	0xbb	»	1	11192928	tgl	Isáng hampás-lupà, isáng hampas-bató, na gaya ng̃ tawag sa kanyá ng̃ madlâ. Ulila sa amá't ulila, sa iná. Walâng asawa, ni anák, ni kapatid, ni kamaganakan kungdî ... si «Ligaya»; ligayang pará sa kanyá'y hindî natatagpô sa alín mang dako, sa alín mang poók, máliban sa mg̃a bilyar, sabung̃án, pangginggihan, bahay-sáyawan at mg̃a bung̃ang̃à ng̃ impierno na sa bálana'y laging nakaumang.	nonong	2022-10-19 22:41:14	2022-11-02 23:13:23
191	0xbf	¿	3	11224220	tgl	Walang nararapat kundí ang umayos / sa kapangyarihan ng̃ lumik-hang Dios / sanlibo mang ama ang siyáng matapos / ¿ano't daramdamin sa Lang̃it na tulót?	nonong	2022-11-02 22:42:56	2022-11-02 22:43:41
201	0xc9	É	2	11290596	tgl	Ang Kreyol ng Cabo Verde sa Atlantiko ay Portuges na kreyol na may kasamang mga salitang Kanluraning Aprikano, at pinakamalawak na kreyol ito na Portuges. Kumanta si Cesária Évora sa wikang ito.	nonong	2022-12-03 19:26:26	2022-12-03 19:26:26
211	0xd3	Ó	1	11207579	tgl	Iká isáng óras ng hápon nang máharap sa presidente siná Julio at gayón ma'y malaon pa ring sila'y naghintáy na hindî man lang kinikibô. Sinamantala ni Gerardo ang panahón; pinagaralan sandalî ang nalalaráwan sa mga mukhâ ni Kápitang Memò at ng kanyang katóto. May isa siyang hinalà, na ibig maláman kung túnay ó hindî. Tiningnáng una ang amerikano. Ibáng ibá ito ngayón: walâ na ngayón ang úlong kanína'y nakayukô; walâ na rin ang mga lábing kanína'y nangangatál; walâ na ngayón ang mga matáng duwág na kanina'y dî makalában sa kanyá ng títig. Ibáng ibá ngâ ngayón si Stag; mistúlang harì na namán na íbig magpasukò sa lahát, pati sa Diyos! Ang báwa't títig niyá kay Kápitang Memò, wari'y naghahatíd ng mga ganitóng salitâ: "Ako ang panginóon mo ngayón. Ó ako'y ililigtás mo sa usapíng itó, ó ang úlo mo'y aking paliliparín! Mamilì ka!"	nonong	2022-10-26 07:25:15	2022-10-26 07:25:15
224	0xe0	à	33	11207579	tgl	Iká isáng óras ng hápon nang máharap sa presidente siná Julio at gayón ma'y malaon pa ring sila'y naghintáy na hindî man lang kinikibô. Sinamantala ni Gerardo ang panahón; pinagaralan sandalî ang nalalaráwan sa mga mukhâ ni Kápitang Memò at ng kanyang katóto. May isa siyang hinalà, na ibig maláman kung túnay ó hindî. Tiningnáng una ang amerikano. Ibáng ibá ito ngayón: walâ na ngayón ang úlong kanína'y nakayukô; walâ na rin ang mga lábing kanína'y nangangatál; walâ na ngayón ang mga matáng duwág na kanina'y dî makalában sa kanyá ng títig. Ibáng ibá ngâ ngayón si Stag; mistúlang harì na namán na íbig magpasukò sa lahát, pati sa Diyos! Ang báwa't títig niyá kay Kápitang Memò, wari'y naghahatíd ng mga ganitóng salitâ: "Ako ang panginóon mo ngayón. Ó ako'y ililigtás mo sa usapíng itó, ó ang úlo mo'y aking paliliparín! Mamilì ka!"	nonong	2022-10-26 07:25:15	2022-10-26 07:25:15
225	0xe1	á	63	2578358	tgl	Kapwà estudyante ang nakapasá sa lahát ng kaniláng mga pagsusulit.	mervert1	2013-07-09 10:17:22	2013-07-09 10:17:22
226	0xe2	â	19	11207112	tgl	"Ang mga táong iyán ay nanúnulúyan laang dito. Walâ siláng báyan. Ang báyan nila'y binilí ng aking báyan.... Silá ang mga talúnang gúgu, ang mga di dápat lumayà at magsarilí, sapagka't walang káya, sapagka't mga mangmáng, mga incivilizado, mga tamád, at sapagka't kapag pinalayá, silá at hindî kami ang mabubusóg sa mga búkid at bundók na iyan na bawa't kimpál ng kanilang lupa ay isang kimpal na gintô!"	nonong	2022-10-25 22:41:20	2022-10-25 22:41:20
227	0xe3	ã	7	11888252	tgl	Nasa São Paulo po siya noong Pebrero.	qwertzu	2023-06-29 11:00:55	2023-06-29 11:00:55
228	0xe4	ä	2	10585320	tgl	Ang aking ama, noong siya ay isang Romano Katoliko at pagkatapos nang siya ay naging isang Protestante, ay palaging interesado sa paranormal, na nagsasangkot ng mga di-Kristiyanong ideya. Nagbasa siya ng mga aklat nina Tuesday Lobsang Rampa, Erich von Däniken, Deepak Chopra, at James Redfield.	nonong	2021-12-27 00:16:58	2021-12-27 00:52:53
231	0xe7	ç	1	11268940	tgl	Ang Papiamento o Papiamentu ay Portuges na Kreyol na may kahalong Olandes at Kastila at sinasalita sa mga Islang ABC ng Karibe: sa Aruba, Bonaire, at Curaçao. May impluwensiya rin ang Pranses, Ingles, Amerindiyong Arawak, at mga Aprikanong wika.	nonong	2022-11-26 17:12:02	2022-11-26 17:12:02
232	0xe8	è	7	12229305	tgl	Nang maulap na ika-24 ng Disyembre ng 2023, nasa Istarbak ako sa umaga at nasa pizzeria sa umaga rin at dalawa pang beses doon sa hapon. Lakad ako. Sa Istarbak, may sanwits na salsitsas, cheddar, at itlog ako. May itim na tsaang may yelo ako. Nagbabasa ako ng baon kong Kastilang librong Crónicas de Majipur ni Robert Silverberg. Ang mga barista ay si Sara, yaong Anglo-Sahonang ngayon ay nakasuot nang sungay na reyndir, at si Karina, yaong tabatsoy na Rusa. Sa hapon sa pizzeria, dumalaw ang asawa ni Khathie, yaong Taga-Senegal, at dala niya ang istroler nang may dalawang mulatang anak na si Aïcha at si Amina. Steve ang pangalan niya, at may lahi siyang Britaniko at Pranses daw. Binabasa ko ang baon kong Pranses na librong Les mystères du vaudou ni Laënnec Hurbon. Sa pizzeria, naroon ngayon ang mga Taga-Indiyang tinderang si Lavjot, si Jot, at si Navjot. Palagi akong may kolang pangdiyeta, at kung minsan may pizza ako.	nonong	2023-12-25 01:39:16	2023-12-25 01:41:35
233	0xe9	é	60	11495455	tgl	Mas gusto ko pa ang Dàodéjīng kaysa sa Bibliya ninyo po.	nonong	2023-01-30 03:19:13	2023-01-30 03:19:13
235	0xeb	ë	2	1921405	tgl	Nagbabantay ng gubat sina Hísiel at Nenwë.	nonong	2012-10-14 12:41:20	2012-10-14 12:41:20
236	0xec	ì	12	11202533	tgl	Noong ika-16 ng Oktubre ng 2022, pinag-usapan namin ni Greg ang Daoismo sa Tsina. Sabi kong sa relihiyong iyon, may kung tawagin ay Tiāndì o Langit-Lupa. Sa Langit-Lupa, ang "mga sampung libong bagay" o lahat ng bagay ay pinababayaang parang mga pahang aso. Animismo at panteismo rin ang Daoismo.	nonong	2022-10-23 21:50:08	2022-10-23 21:50:08
237	0xed	í	41	8746030	tgl	Kuwento sa Ibáng Planeta: Sa malayong planeta, may dalawáng buwan sa gabíng langit, si Magaán at si Mabigát. Nagtanóng ang isáng anák sa kanyáng amá, "Tatay, bakit may dalawáng buwan sa langit?" Sabi ng amá, "O, anóng klaseng tanóng iyán? Ilán ang matá mo? Dalawá. Ilán ang kamáy mo? Dalawá." Sumagót ang anák, "Pero, tatay, isá lamang hô ang ilóng ko..."	nonong	2020-05-07 22:47:13	2020-05-07 22:47:13
238	0xee	î	16	2578292	tgl	Alám kong alám ko iyán, peró hindî ko matandaán.	mervert1	2013-07-09 09:56:27	2013-07-09 09:56:27
239	0xef	ï	4	12211586	tgl	Sa umaga at sa hapon din nang ika-15 ng Disyembre ng 2023, lumakad ako papuntang pizzeria rito sa Isla Lulu. Sa umaga, nakita ko sa parkeng eskinita si Michael na Danes-Pranses. May pinakita siya sa kanyang ismartpon: ang mga bagong litrato ng mga mahiwagang ilaw-ilaw sa pook na sa kanyang isip ay ebidensiya ng ekstraterestre. Sa hapon, nakita ko naman sa pizzeria si Khathie (pagbigkas nang parang "Hachi"), yaong itim na Taga-Senegal. Pranses ang paunang lengguwahe niya. Nag-unibersidad siya sa Senegal. Marunong din siya ng iba pang mga wika katulad ng Wolof. Paborito namin ang musikang Pranses na bidyong "Aïcha" ni Cheb Khaled. Hinanap namin sa kanyang ismartpon, at nakita namin. May anak siyang ang pangalan ay Aïcha. Si Amina naman yaong isa pa. Nakakulay-pilak na dyaket si Khathie. Palagi akong may kolang pangdiyeta sa pizzeria. Sa hapon naman, may isang piraso ng maberdeng pizzang pesto ako.	nonong	2023-12-15 22:48:03	2023-12-15 22:59:08
241	0xf1	ñ	12	11820518	tgl	Si Sergio Osmeña ang mukha sa limampung piso.	qwertzu	2023-06-04 13:49:16	2023-06-04 13:49:16
242	0xf2	ò	7	11207579	tgl	Iká isáng óras ng hápon nang máharap sa presidente siná Julio at gayón ma'y malaon pa ring sila'y naghintáy na hindî man lang kinikibô. Sinamantala ni Gerardo ang panahón; pinagaralan sandalî ang nalalaráwan sa mga mukhâ ni Kápitang Memò at ng kanyang katóto. May isa siyang hinalà, na ibig maláman kung túnay ó hindî. Tiningnáng una ang amerikano. Ibáng ibá ito ngayón: walâ na ngayón ang úlong kanína'y nakayukô; walâ na rin ang mga lábing kanína'y nangangatál; walâ na ngayón ang mga matáng duwág na kanina'y dî makalában sa kanyá ng títig. Ibáng ibá ngâ ngayón si Stag; mistúlang harì na namán na íbig magpasukò sa lahát, pati sa Diyos! Ang báwa't títig niyá kay Kápitang Memò, wari'y naghahatíd ng mga ganitóng salitâ: "Ako ang panginóon mo ngayón. Ó ako'y ililigtás mo sa usapíng itó, ó ang úlo mo'y aking paliliparín! Mamilì ka!"	nonong	2022-10-26 07:25:15	2022-10-26 07:25:15
243	0xf3	ó	65	8745987	tgl	Interesado akó sa maraming mga wikà bilang akadémikong pampaligtás. Ang mga wikà ay mga kalidoskopyo at mga bintanà sa iba-ibáng mundó.	nonong	2020-05-07 22:24:31	2020-05-07 22:25:11
244	0xf4	ô	12	8746030	tgl	Kuwento sa Ibáng Planeta: Sa malayong planeta, may dalawáng buwan sa gabíng langit, si Magaán at si Mabigát. Nagtanóng ang isáng anák sa kanyáng amá, "Tatay, bakit may dalawáng buwan sa langit?" Sabi ng amá, "O, anóng klaseng tanóng iyán? Ilán ang matá mo? Dalawá. Ilán ang kamáy mo? Dalawá." Sumagót ang anák, "Pero, tatay, isá lamang hô ang ilóng ko..."	nonong	2020-05-07 22:47:13	2020-05-07 22:47:13
245	0xf5	õ	7	11497565	tgl	Nitong umaga nang ika-30 ng Enero ng 2023, kaunti lamang ang tao sa tsaahan. Lunes kasi ngayon. Nagbabasa ako roon ng librong siyensiyang piksiyon tungkol sa mga dragon sa ibang planeta, O Planeta dos Dragões ni Anne McCaffrey, sa Portuges naman.	nonong	2023-01-30 21:18:17	2023-01-30 21:18:17
246	0xf6	ö	2	11985143	tgl	Sa preskong maulap na umaga nang ika-7 ng Agosto ng 2023, naghuhuntahan kami ni Greg, o Gregorio, yaong Pilipino, sa tsaahan dito sa Isla Lulu. Pinag-usapan namin ang mga Sagradong Eskritura sa Kristiyanismo at Budismo. Napupuna kong may tatlong taling na nakalinya sa leeg sa kaliwa ni Greg. Para silang kompigurasyon ng tatlong estrelya sa Sinturon ni Orion, yaong kung tawagin sa Kastila ay Los Tres Reyes Magos, o Las Tres Marías. Pinag-usapan din namin ang isport na tema. Mahilig si Greg sa basketbol. Ako naman ay mahilig sa anumang martial arts, tulad ng aikidō, kendō, kyūdō o artseriya, at iba pa. Binagyan ni Greg ako ng isang sako ng mansanas na tsip habang nagtsatsaang itim na mayelo ako. Siya naman ay kape at croissant. Naroon din sa tsaahan si Marlin, yaong Pilipina, sa ibang mesang nagbabasa. Pranses galing Pransiya ang asawa niya. Pag-uwi ko, nakita ko si Michael na Danes-Pranses sa parkeng naninigarilyo. Nagprapraktis daw siya sa tahanan ng mga musika, tulad ng Blues, Folk, at mga ganoon. Tingnan ko raw sa Internet ang "Göbekli Tepe" sa Turkiya, yaong talagang antigong ruwina.	nonong	2023-08-07 17:51:17	2023-08-07 18:45:11
250	0xfa	ú	13	11207112	tgl	"Ang mga táong iyán ay nanúnulúyan laang dito. Walâ siláng báyan. Ang báyan nila'y binilí ng aking báyan.... Silá ang mga talúnang gúgu, ang mga di dápat lumayà at magsarilí, sapagka't walang káya, sapagka't mga mangmáng, mga incivilizado, mga tamád, at sapagka't kapag pinalayá, silá at hindî kami ang mabubusóg sa mga búkid at bundók na iyan na bawa't kimpál ng kanilang lupa ay isang kimpal na gintô!"	nonong	2022-10-25 22:41:20	2022-10-25 22:41:20
251	0xfb	û	2	11193180	tgl	Hinagísan ni Kápitang Memò ang kaibigan niyáng noo'y walang kakibô-kibô, ng isang tingin na wari'y nagsasábing: "Ligtás ka ná!" Paniwalàng paniwalà siyá na ang mga hulí niyang salitâ ay yuyukûang pílit ng binatàng katálo. Anó pa ang ikakatwiran ng binatíllong uhúging iyón?	nonong	2022-10-20 00:22:22	2022-10-20 00:22:22
252	0xfc	ü	6	10457327	tgl	Si Jürgen ay panatiko ng Anarkosindikalismo at ni Eugène Lanti, yaong politiko. Esperantista si Jürgen. Aleman siya.	nonong	2021-10-24 00:12:46	2021-10-24 00:20:06
253	0xfd	ý	1	11262101	tgl	Ang Cree ay diyalektong continuum ng mga wikang Algonquian sa Canada. Mas parang Hapones ang tunog nito: "kakwēcimēw kisēýiniwa" (Tinanong niya ang matanda).	nonong	2022-11-21 22:04:49	2022-11-21 22:04:49
257	0x101	ā	23	12111180	tgl	Ika-16 ng Oktubre ng 2023 na, at malapit na ang Halloween. Noong bata pa ako, talagang espesyal ang Halloween. Dahil dito sa Isla Lulu, maraming hindi kanluranin, hindi nila alam masyado ang Halloween. Sa hapon ngayon, nasa Istarbak ako para tsaang itim na may yelo at sanwits na salsitsas, cheddar, at itlog. Naroon ang mga baristang si William na Tsino at si Jam na Pilipino. Naroon din ang manedyer na Pilipinang si Gina. Isang regular na kostumer si Chen, yaong Tsinong tabatsoy na mukhang militar, na nakaupo sa bar. Nitong mga araw, kinakausap ko ang mga Mormon sa pook. Talagang iba ang paningin nila kaysa sa akin tungkol sa relihiyon. Pinaliwanag ko sa kanilang Budista-Animista ako, pero hindi madaling magpinta ng larawan. Alam kong may mga Hapones ngayong interesado sa Budismong Theravāda sa Taylandiya. Sa Hapon at Taylandiya, maraming tao'y dalawa ang relihiyon nang Budismo at Animismo. Sa Hapon, madalas na ang mga sekta sa Budismo ay Amidismo, Zen, at iba pa. Sa Hapon, ang Animismo ay madalas na Shintō. Ang mas tiyak na deskripsiyon sa akin ay Singkretista. Sa tema ng araw, may 16 na regla ang basikong gramatika ng Esperanto. Nitong mga araw, sa birtuwal na biyahe ko nang Istritbyu, nasa Amerikang Latino ako. Tuloy ang pag-aaral ko ng Kastila nitong mga araw.	nonong	2023-10-17 07:48:40	2023-10-17 11:31:04
264	0x108	Ĉ	1	12007641	tgl	Medyo nalamig na nitong umaga nang ika-21 ng Agosto ng 2023 nang pumuntang lakad ako sa Istarbak para magtsaang itim na mayelo. Sa berdeng mensaherong sako kong may senyas ng Krus na Pula, may dinala akong ubeng hopyang hindi ko kinain at ang Esperantong librong Enciklopedieto de Ĉinio ng Ĉina Esperanto-Eldonejo, yaong binabasa ko. Ang mga barista sa umaga ay si Karina, yaong Rusa, si Sarah, yaong Anglo-Sahonang dating nasa Québec, at si Tanya, yaong Anglo-Sahona rin. May dumalaw na mag-asawang Taga-Europa. Malamang na hindi mula sa Romania. Baka Eslabiko o Hermaniko ang salita. Nilalagyan nilang elegante nang alak mula sa kulay-pilak na metalikong bote ang kape nila habang nakaupo sila sa harapan sa mesa sa tabi ng bintana. May haliling dumalaw na dalawang puting lalaking may itsurang medyo mapula ang kayumangging buhok, at nakaitim ang suot nila. Ang ganda ng pulang-pulang mabilog na araw sa kulay-abong langit sa labas ng bintana. Pula siya dahil may malaking sunog daw sa Interior ng BC, at pumaparito ang usok mula roon.	nonong	2023-08-21 14:20:57	2023-08-21 14:56:30
265	0x109	ĉ	5	3847079	tgl	Nabanggit ko kay Yaroslav na ang Esperantong salitang para sa kabayo ay "ĉevalo" na kahawig sa Pranses.	nonong	2015-02-06 23:05:37	2015-02-06 23:05:37
275	0x113	ē	2	11151615	tgl	Ang etimolohiya ng Hawayanong "Pākē" at ng Tagalog na "Intsik" ay sa Tsinong "tiyo" sa iba-ibang topolekto. Ang ibig sabihin ng dalawang salita ay "Tsino."	nonong	2022-10-01 10:53:41	2022-10-02 00:31:12
283	0x11b	ě	6	12213488	tgl	Sa maulap na umaga nang ika-16 ng Disyembre ng 2023, nasa pizzeria akong dala ang isang librong Esperanto. Sa daan, nakita ko si Rochelle na kapitbahay na pula ang buhok. Sa tabi ng bahay ko, nasa kotseng pulang Mercedes ang mga pamangkin ko at pumara. Si Calla ay pasahera, at si Tria ay drayber. Nagtratrabaho si Calla sa Inglatera nang siyentipiko. Narito siya sa Isla Lulu para sa Pasko. Hindi raw siya sigurado kung tuluyang magtatagal siya sa Inglatera. Mahal daw doon. Sabi ko sa kanyang dating gusto ko sanang tumirang tuluyan sa isang antigong bansa bilang Hapon, kung saan nagtrabaho ako dati. Dito sa Kanluran hindi ako naghahanap talaga ng Oryentalismo, miski na hindi talaga dayuhan sa akin ang Oryentalismo. Hindi rito ang parang Hapon o Taylandiya man. Sa bahay, nagbidyokomperensiya kami ng kuya ko dahil nag-aaral kami ng Kastila. Mas gusto ng kuyang kausapin ang mga Latino, pero ako naman ay sapat sa pagbabasa. Sa hapon, nasa pizzeria ako. Nakita ko si Lola Joey na Olandesa roon, at sa daan naman si Lola Květa, yaong Tseka. Nagpizza akong may olibo, at may kolang pangdiyeta.	nonong	2023-12-17 01:27:00	2023-12-17 01:41:41
285	0x11d	ĝ	3	1829407	tgl	May 28 letra ang alpabetong Esperanto: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.	nonong	2012-09-10 00:14:20	2012-09-10 00:14:20
293	0x125	ĥ	4	1829407	tgl	May 28 letra ang alpabetong Esperanto: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.	nonong	2012-09-10 00:14:20	2012-09-10 00:14:20
299	0x12b	ī	13	11500065	tgl	Mas nagugustuhan ko ang Dàodéjīng kaysa sa Bibliya ninyo po.	nonong	2023-02-01 03:31:24	2023-02-01 03:31:24
305	0x131	ı	1	12284345	tgl	Maganda rin ang Turko, isa sa mga Tursikong wikang parteng ninuno ng mga Tsino. Letrang Romano ang ginagamit ngayon sa Turko. Masasarap ang mga pagkain nila. Guwapo ang mga tao. Magaganda ang mga antigong gusali sa Turkiya. Narating ko na ang Kuşadası sa Turkiya.	nonong	2024-01-24 20:43:11	2024-01-24 20:43:11
309	0x135	ĵ	4	11216360	tgl	Pasado nang hatinggabi nitong ika-30 ng Oktubre ng 2022, sinimulan ko muling magbasa ng tatlong libro, isang Esperantong Memoraĵoj de kampara knabo ni Xosé Neira Vilas, isang Kastilang Drácula ni Bram Stoker, at isang Pranses na Terremer Intégrale ni Ursula K. Le Guin. Hinihintay ko ang Halloween.	nonong	2022-10-30 07:36:09	2022-10-30 07:36:17
322	0x142	ł	1	12162850	tgl	Nang maulap na umaga nang ika-15 ng Nobyembre ng 2023, lakad ako papuntang Istarbak. Umiinom ako roon ng mayelong abenang gatas. Pagkatapos ni Brian na Eskoses kumain ng binalot na salsitsas at itlog, lumapit siya sa mesa ko. Tanong niya, "Anong binabasa mo?" "Ito ay Okupacio. At ito ay La Imperio Ornaks." Tanong niya, "Anong lengguwahe?" Sagot ko, "Esperanto. Inimbento ng Hudyo noong 1887 sa Polonya. Sinakop ng Rusya ang Polonya. Sa bayan ni Doktor Zamenhof na Białystok, maraming iba-ibang tao: May Polako, Ruso, Aleman, Hudyo, at iba pa. Nag-aaway sila, kaya gumawa si Doktor Zamenhof ng pandaigdigang lengguwahe para sa lahat. Isa siyang idealista. Siya ay isang henyo!" Mamaya pa sa Istarbak, tumawid na may kape si Michael na mestisong Tsino-Ingles. Sabi niya, "Kumusta? Nagtatago ka diyan sa sulok!"	nonong	2023-11-15 16:48:49	2023-11-15 16:53:54
333	0x14d	ō	22	11597924	tgl	Madalas namin ni Greg pag-usapan ang Shintō ng Hapon. Malimit niyang binabanggit na, katulad ng Budismo, may kaugnayan yaong relihiyon sa Hinduismo. Sabi kong hindi ganoon, at ang Shintō ay malamang na nanggaling sa mga ligaw na tribu sa Siberya nang ilang libong taon na ang nakalipas. Animismo iyon. Sang-ayon nga kami ni Greg na may impluwensiya ang Budismo sa Shintō ngayon.	nonong	2023-03-15 17:57:46	2023-03-15 17:57:46
349	0x15d	ŝ	3	12054292	tgl	Nang maulap na hapon nang ika-13 ng Setyembre ng 2023, nasa pizzeria muli ako para magkolang pangdiyeta sa labas sa harapan ng bintana. Naglalakwatsa lamang. Maraming bata ngayon. May isang binatang kayumanggi ang balat na nakaberdeng tisyort na may numerong "27" na puti sa harap. Sa Esperanto, may 28 letrang kinakabilangan ng may mga tuldik: ĉ, ĝ, ĥ, ĵ, ŝ, ŭ. At puwede ring gamitin ang substitutong alpabetong walang tuldik na may 27 letrang may mga digrapo: ch, gh, hh, jh, sh, u.	nonong	2023-09-13 23:33:23	2023-09-13 23:45:49
351	0x15f	ş	1	12284345	tgl	Maganda rin ang Turko, isa sa mga Tursikong wikang parteng ninuno ng mga Tsino. Letrang Romano ang ginagamit ngayon sa Turko. Masasarap ang mga pagkain nila. Guwapo ang mga tao. Magaganda ang mga antigong gusali sa Turkiya. Narating ko na ang Kuşadası sa Turkiya.	nonong	2024-01-24 20:43:11	2024-01-24 20:43:11
353	0x161	š	1	1122387	tgl	Mahal ko si Evelina Sašenko.	ratatat	2011-09-22 21:36:32	2011-09-22 21:36:32
363	0x16b	ū	6	11207287	tgl	"Oṃ maṇi padme hūṃ" ay Sanskritong mantra sa Budismong ang ibig sabihin ay "Papuri sa hiyas sa lotus" at kondensadong porma ng mga tinuturo ng Budismo.	nonong	2022-10-26 02:25:27	2022-10-26 02:28:17
365	0x16d	ŭ	3	12054292	tgl	Nang maulap na hapon nang ika-13 ng Setyembre ng 2023, nasa pizzeria muli ako para magkolang pangdiyeta sa labas sa harapan ng bintana. Naglalakwatsa lamang. Maraming bata ngayon. May isang binatang kayumanggi ang balat na nakaberdeng tisyort na may numerong "27" na puti sa harap. Sa Esperanto, may 28 letrang kinakabilangan ng may mga tuldik: ĉ, ĝ, ĥ, ĵ, ŝ, ŭ. At puwede ring gamitin ang substitutong alpabetong walang tuldik na may 27 letrang may mga digrapo: ch, gh, hh, jh, sh, u.	nonong	2023-09-13 23:33:23	2023-09-13 23:45:49
462	0x1ce	ǎ	5	11328020	tgl	Namimis ko si Michael ng Guǎngzhōu sa tsaahan. Namimis ko ang kanyang intelektuwal na bulgaridad. Nanunuod siya ng mga musikang bidyong Hispaniko. Nakapunta na siya sa Amerikang Latino, Ehipto, Iran, at iba pa. May alam siya sa mga relihiyong Tsino. Pareho ang templo namin.	nonong	2022-12-14 02:06:49	2022-12-14 02:08:24
464	0x1d0	ǐ	2	11903411	tgl	Sa almusal ko nitong ika-3 ng Hulyo ng 2023, sa naaarawang balkonahe, kumain ako ng siyopaw at ng saba. Sa guni-guni ko, Esperanto at Chabacano yaong mga bagay. Tapos, lakad ako palabas. Sa daan, nakita ko si Rochelle na pula-buhok. Akala kong tininta niyang itim ang buhok niya, pero mukhang itim sa lilim. Tininta nga niyang mas maitim na pula. Sa parkeng eskinita, kinamusta ako ng regular na matandang Kantones doon. Kung minsan, "Nǐ hǎo!" sa Mandarin ang bati ko sa kanya. Sa eskinita, may magandang Ugandesang inaasikaso ang kanyang mga sinampay na nilaba. Sa pizzeria rito sa Isla Lulu, nagpirasong pepperoning pizza ako at nagkola. Si Sachet na Taga-Indiya ang tindero. May dumalaw na isa lamang matangkad na mulatong adolesenteng nakaitim. Pag-uwi ko, nakita ko si Al na naninigarilyo. Nakamaong asul ang buong katawan niya.	nonong	2023-07-03 19:17:03	2023-07-03 23:32:16
468	0x1d4	ǔ	1	11975457	tgl	Maaraw ngayong una ng Agosto ng 2023. Sa umaga sa tsaahan sa Isla Lulu, napanood ko ang pagsikat ng araw habang umiinom ako ng mayelong itim na tsaa. Ang mga barista ay si Sarah, yaong Anglo-Sahonang dating nasa Québec, at si Taryn, yaong isa pang Anglo-Sahona, pero matangkad. Naroon din si Dennis na mestisong Tsino-Alemang naglalaro ng Sudoku sa ibang mesang may mga de-kolor na pensil. Kumakain ako ng binalot na kesong feta, espinaka, at puti ng itlog. May dala akong mga libro sa aking kambas na sako: isang Esperantong minidiksiyonaryo at ang Esperantong nobelang Tra Lando de Indianoj ni Tibor Sekelj, tungkol sa buhay sa gubat ng Brasil. Sa bahay, sa aking tablet, binibisita ko ang iba-ibang lugar sa mundo nang mga imahen sa satelayt. Sa Ibaan sa Pilipinas, pook ng aking mga bakasyon sa pagkabata, may mga modernasyon na. May bagong tsaahang ang tawag ay Kū Chí Tea na may senyas sa logogramang Tsinong 苦你可 kǔ nǐ kě, "mapait puwede ka." Natatandaan kong may mga kalesa noong bata pa ako, pero ngayon ay mga dyip at traysikel na. Noong bata ako, natatandaan ko ang mga mabanas na araw at ang mga punong may kakaw. Marami pang bahay ay kawayan at kahoy lamang noon; ngayon ay semento. Ngayon, may restawrang Jollibee nang may Drive-Thru pa. Parang nasa Maynila na.	nonong	2023-08-01 20:52:16	2023-08-01 23:36:45
